Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): D:/ashish/arpit_syn/dat files/syn8.dat
 5.636890e-002  2.371770e+004 -1.000000e+000
 6.276140e-002  2.033680e+004 -1.000000e+000
 6.915390e-002  2.258690e+004 -1.000000e+000
 7.554640e-002  2.142670e+004  6.247210e+003
 8.193890e-002  2.155880e+004  5.746390e+003
 8.833140e-002  1.993420e+004  5.514090e+003
 9.472390e-002  1.888190e+004 -1.000000e+000
 1.011160e-001  1.927360e+004 -1.000000e+000
 1.075090e-001  1.947130e+004  5.177110e+003
 1.139010e-001  2.152220e+004 -1.000000e+000
 1.202940e-001  2.123570e+004 -1.000000e+000
 1.266860e-001  2.005600e+004 -1.000000e+000
 1.330790e-001  2.039350e+004 -1.000000e+000
 1.394710e-001  1.787700e+004 -1.000000e+000
 1.458640e-001  1.595950e+004 -1.000000e+000
 1.522560e-001  1.672210e+004 -1.000000e+000
 1.586490e-001  1.932590e+004 -1.000000e+000
 1.650410e-001  2.042460e+004 -1.000000e+000
 1.714340e-001  1.840200e+004 -1.000000e+000
 1.778260e-001  1.813190e+004 -1.000000e+000
 1.842190e-001  1.700330e+004 -1.000000e+000
 1.906110e-001  1.558660e+004 -1.000000e+000
 1.970040e-001  1.820110e+004 -1.000000e+000
 2.033960e-001  1.779590e+004 -1.000000e+000
 2.097880e-001  1.459650e+004 -1.000000e+000
 2.161810e-001  1.512260e+004  2.430710e+003
 2.225730e-001  1.665450e+004 -1.000000e+000
 2.289660e-001  1.586610e+004  3.886560e+003
 2.353580e-001  1.453680e+004 -1.000000e+000
 2.417510e-001  1.311400e+004 -1.000000e+000
 2.481430e-001  1.376160e+004 -1.000000e+000
 2.545360e-001  1.385660e+004 -1.000000e+000
 2.609280e-001  1.297000e+004 -1.000000e+000
 2.673210e-001  1.228710e+004 -1.000000e+000
 2.737130e-001  1.231590e+004  3.691590e+003
 2.801060e-001  1.243330e+004 -1.000000e+000
 2.864980e-001  1.332910e+004 -1.000000e+000
 2.928900e-001  1.217540e+004 -1.000000e+000
 2.992830e-001  1.131050e+004 -1.000000e+000
 3.056750e-001  1.103330e+004  3.453570e+003
 3.120680e-001  1.273480e+004 -1.000000e+000
 3.184600e-001  1.174150e+004  1.673640e+003
 3.248530e-001  1.084110e+004 -1.000000e+000
 3.312450e-001  1.059480e+004 -1.000000e+000
 3.376380e-001  9.752290e+003 -1.000000e+000
 3.440300e-001  1.036190e+004 -1.000000e+000
 3.504230e-001  9.040280e+003 -1.000000e+000
 3.568150e-001  9.647240e+003 -1.000000e+000
 3.632070e-001  9.309530e+003 -1.000000e+000
 3.696000e-001  8.909230e+003 -1.000000e+000
 3.759920e-001  9.289820e+003 -1.000000e+000
 3.823850e-001  8.761960e+003 -1.000000e+000
